Customer ID,Last Purchase Date,Total Purchase,Total Amount,Recency(Days since last purchase),R Score,F Score,M Score,RFM Score,Segments
CUST1003,2025-06-20,1,$786.30,391,3,1,5,315,Active Customers
CUST1007,2025-09-12,1,$110.72,307,4,1,2,412,Active Customers
CUST1012,2025-08-04,1,$24.36,346,3,1,1,311,Active Customers
CUST1014,2025-12-29,1,$124.24,199,5,1,2,512,Champions
CUST1021,2025-06-16,1,"$1,622.50",395,3,1,5,315,Active Customers
CUST1031,2025-02-01,1,$204.56,530,1,1,3,113,Lost Customers
CUST1032,2025-06-19,1,$253.23,392,3,1,3,313,Active Customers
CUST1034,2025-10-24,1,$34.29,265,4,1,1,411,Active Customers
CUST1040,2025-07-03,2,$675.28,378,3,3,4,334,Active Customers
CUST1045,2025-12-29,1,$40.95,199,5,1,1,511,Champions
CUST1052,2025-05-28,1,$559.90,414,2,1,4,214,At Risk
CUST1056,2025-01-04,1,$61.24,558,1,1,1,111,Lost Customers
CUST1057,2025-06-30,2,$267.62,381,3,3,3,333,Active Customers
CUST1062,2025-06-10,1,$430.64,401,2,1,4,214,At Risk
CUST1070,2025-11-30,2,"$2,109.90",228,5,3,5,535,Champions
CUST1072,2025-12-18,1,$501.18,210,5,1,4,514,Champions
CUST1078,2025-11-27,1,$490.15,231,5,1,4,514,Champions
CUST1079,2025-06-10,1,$433.32,401,2,1,4,214,At Risk
CUST1081,2025-04-30,1,$265.28,442,2,1,3,213,At Risk
CUST1082,2025-06-18,1,$689.16,393,3,1,4,314,Active Customers
CUST1085,2025-03-24,1,$701.50,479,1,1,4,114,Lost Customers
CUST1093,2025-12-06,1,$297.70,222,5,1,3,513,Champions
CUST1095,2025-08-10,1,$346.56,340,3,1,3,313,Active Customers
CUST1102,2025-02-07,1,$96.00,524,1,1,2,112,Lost Customers
CUST1108,2025-05-05,1,$369.75,437,2,1,3,213,At Risk
CUST1109,2025-05-02,1,$360.30,440,2,1,3,213,At Risk
CUST1110,2025-07-15,1,"$2,074.76",366,3,1,5,315,Active Customers
CUST1116,2025-02-02,1,$84.00,529,1,1,1,111,Lost Customers
CUST1118,2025-05-14,1,$721.86,428,2,1,4,214,At Risk
CUST1122,2025-10-02,1,$556.74,287,4,1,4,414,Active Customers
CUST1128,2025-10-17,1,$54.15,272,4,1,1,411,Active Customers
CUST1129,2025-08-31,1,$182.28,319,4,1,2,412,Active Customers
CUST1133,2025-10-04,1,$241.57,285,4,1,3,413,Active Customers
CUST1134,2025-12-10,1,$142.60,218,5,1,2,512,Champions
CUST1138,2025-07-18,1,$141.12,363,3,1,2,312,Active Customers
CUST1141,2025-09-18,1,$7.27,301,4,1,1,411,Active Customers
CUST1143,2025-01-24,1,"$1,600.08",538,1,1,5,115,Lost Customers
CUST1145,2025-11-21,1,$777.60,237,5,1,4,514,Champions
CUST1147,2025-07-29,1,$145.29,352,3,1,2,312,Active Customers
CUST1150,2025-01-13,1,"$1,326.28",549,1,1,5,115,Lost Customers
CUST1159,2025-05-20,1,"$1,112.40",422,2,1,5,215,At Risk
CUST1161,2025-08-21,3,"$9,101.98",329,3,5,5,355,Active Customers
CUST1165,2025-10-04,1,"$2,955.16",285,4,1,5,415,Active Customers
CUST1180,2025-09-25,1,$943.05,294,4,1,5,415,Active Customers
CUST1185,2025-12-21,1,$294.05,207,5,1,3,513,Champions
CUST1188,2025-01-27,1,"$1,131.64",535,1,1,5,115,Lost Customers
CUST1202,2025-03-30,1,"$1,853.28",473,1,1,5,115,Lost Customers
CUST1205,2025-03-09,1,$78.69,494,1,1,1,111,Lost Customers
CUST1214,2025-12-10,1,"$1,281.18",218,5,1,5,515,Champions
CUST1226,2025-11-11,1,"$5,317.98",247,5,1,5,515,Champions
CUST1227,2025-08-19,1,$168.88,331,3,1,2,312,Active Customers
CUST1229,2025-02-25,1,$116.43,506,1,1,2,112,Lost Customers
