Transaction ID,Customer ID,Purchase Date,Product Category,Items Quantity,Unit Price,Total Amount,Payment Method,Shipping Country,Marketing Channel,Customer Type
TXN100001,CUST1654,2025-02-27,Electronics,2,$902.78,"$1,805.56",Debit Card,Canada,Affiliate,New
TXN100002,CUST1758,2025-10-07,Apparel,1,$94.72,$94.72,Credit Card,United Kingdom,Paid Social,New
TXN100003,CUST1616,2025-01-14,Beauty & Personal Care,6,$65.86,$395.16,Bank Transfer,France,Paid Social,New
TXN100004,CUST1284,2025-01-04,Home & Kitchen,3,$285.29,$855.87,PayPal,Canada,Paid Social,VIP
TXN100005,CUST1344,2025-02-22,Apparel,3,$66.29,$198.87,PayPal,UAE,Email Campaign,Returning
TXN100006,CUST1747,2025-08-24,Apparel,4,$146.37,$585.48,Credit Card,Japan,Email Campaign,Returning
TXN100007,CUST1633,2025-07-05,Beauty & Personal Care,1,$64.89,$64.89,Cash on Delivery,India,Paid Search,New
TXN100008,CUST1081,2025-04-30,Apparel,4,$66.32,$265.28,Cash on Delivery,Australia,Paid Social,New
TXN100009,CUST1214,2025-12-10,Sports & Outdoors,6,$213.53,"$1,281.18",Cash on Delivery,United Kingdom,Direct,Returning
TXN100010,CUST1546,2025-05-06,Home & Kitchen,3,$195.66,$586.98,Cash on Delivery,Japan,Paid Social,Returning
TXN100011,CUST1863,2025-01-29,Beauty & Personal Care,3,$74.85,$224.55,Apple Pay,Germany,Organic Search,New
TXN100012,CUST1965,2025-10-18,Books,4,$13.51,$54.04,Apple Pay,Brazil,Paid Social,New
TXN100013,CUST1252,2025-10-15,Sports & Outdoors,4,$226.63,$906.52,Bank Transfer,France,Email Campaign,New
TXN100014,CUST1141,2025-09-18,Grocery,1,$7.27,$7.27,Credit Card,Canada,Affiliate,New
TXN100015,CUST1696,2025-08-05,Apparel,5,$66.94,$334.70,Apple Pay,Japan,Email Campaign,VIP
TXN100016,CUST1881,2025-01-06,Apparel,5,$107.03,$535.15,PayPal,Australia,Organic Search,New
TXN100017,CUST1161,2025-08-21,Electronics,6,"$1,146.89","$6,881.34",PayPal,Japan,Paid Search,New
TXN100018,CUST1934,2025-02-24,Sports & Outdoors,5,$254.08,"$1,270.40",Bank Transfer,India,Paid Social,New
TXN100019,CUST1165,2025-10-04,Electronics,4,$738.79,"$2,955.16",Credit Card,United Kingdom,Email Campaign,VIP
TXN100020,CUST1851,2025-06-07,Beauty & Personal Care,5,$9.92,$49.60,Credit Card,United Kingdom,Affiliate,Returning
TXN100021,CUST1070,2025-09-30,Home & Kitchen,4,$68.79,$275.16,Bank Transfer,Canada,Email Campaign,Returning
TXN100022,CUST1621,2025-08-05,Beauty & Personal Care,6,$83.96,$503.76,Cash on Delivery,India,Affiliate,New
TXN100023,CUST1687,2025-11-29,Books,5,$22.52,$112.60,Apple Pay,United Kingdom,Paid Social,New
TXN100024,CUST1346,2025-01-11,Beauty & Personal Care,1,$55.02,$55.02,Credit Card,USA,Paid Social,New
TXN100025,CUST1032,2025-06-19,Apparel,3,$84.41,$253.23,Cash on Delivery,Brazil,Paid Social,Returning
TXN100026,CUST1740,2025-10-20,Grocery,4,$16.09,$64.36,Apple Pay,India,Organic Search,New
TXN100027,CUST1441,2025-07-01,Toys & Games,6,$54.04,$324.24,Credit Card,United Kingdom,Organic Search,New
TXN100028,CUST1347,2025-02-25,Beauty & Personal Care,5,$21.29,$106.45,Apple Pay,Canada,Referral,New
TXN100029,CUST1473,2025-05-08,Apparel,5,$74.82,$374.10,Credit Card,USA,Affiliate,VIP
TXN100030,CUST1856,2025-01-08,Apparel,2,$140.06,$280.12,Debit Card,France,Referral,Returning
